Date,Open,High,Low,Close
"Nov 20, 2016",751.88,755.48,717.94,731.03
"Nov 19, 2016",751.83,756.24,744.47,751.62
"Nov 18, 2016",740.71,752.88,736.89,751.59
"Nov 17, 2016",744.88,755.65,739.51,740.98
"Nov 16, 2016",711.17,747.61,709.04,744.20
"Nov 15, 2016",705.79,715.72,705.26,711.62
"Nov 14, 2016",702.00,706.28,699.81,705.02
"Nov 13, 2016",705.20,705.26,687.32,702.03
"Nov 12, 2016",716.75,717.15,704.03,705.05
"Nov 11, 2016",715.55,718.32,714.41,716.41
"Nov 10, 2016",722.84,723.02,711.21,715.53
"Nov 9, 2016",709.83,740.05,708.61,723.27
"Nov 8, 2016",703.09,712.99,702.39,709.85
"Nov 7, 2016",710.74,710.74,699.90,703.13
"Nov 6, 2016",703.81,714.26,699.56,711.52
"Nov 5, 2016",703.53,707.51,697.74,703.42
"Nov 4, 2016",689.12,706.93,685.56,703.23
"Nov 3, 2016",742.35,745.77,678.16,688.70
"Nov 2, 2016",730.07,740.83,722.35,740.83
"Nov 1, 2016",701.34,736.45,701.34,729.79
"Oct 31, 2016",702.64,709.29,691.68,700.97
"Oct 30, 2016",714.12,714.12,696.47,701.86
"Oct 29, 2016",690.29,720.40,690.05,714.48
"Oct 28, 2016",688.00,690.44,684.16,689.65
"Oct 27, 2016",678.21,688.59,678.04,688.31
"Oct 26, 2016",657.68,679.73,657.68,678.30
"Oct 25, 2016",654.00,664.42,653.70,657.59
"Oct 24, 2016",657.16,657.25,652.59,653.76
"Oct 23, 2016",657.62,661.13,653.89,657.07
"Oct 22, 2016",633.14,658.20,632.85,657.29
"Oct 21, 2016",630.83,634.09,630.69,632.83
"Oct 20, 2016",630.66,631.92,628.26,630.86
"Oct 19, 2016",638.13,638.87,628.01,630.52
"Oct 18, 2016",639.41,640.74,636.00,637.96
"Oct 17, 2016",641.82,642.33,638.66,639.19
"Oct 16, 2016",639.08,642.90,638.90,641.63
"Oct 15, 2016",640.31,642.10,637.39,638.65
"Oct 14, 2016",637.01,641.28,637.01,640.38
"Oct 13, 2016",636.03,638.83,635.03,636.79
"Oct 12, 2016",640.87,641.34,635.97,636.19
"Oct 11, 2016",619.24,642.08,618.50,641.07
"Oct 10, 2016",616.82,621.32,616.20,618.99
"Oct 9, 2016",619.17,619.20,616.61,616.75
"Oct 8, 2016",617.34,619.85,617.34,619.11
"Oct 7, 2016",612.61,617.91,611.82,617.12
"Oct 6, 2016",612.47,613.82,611.47,613.02
"Oct 5, 2016",610.22,613.81,609.62,612.51
"Oct 4, 2016",612.05,612.05,609.48,610.20
"Oct 3, 2016",610.97,612.57,610.46,612.13
"Oct 2, 2016",613.95,614.01,609.68,610.89
"Oct 1, 2016",609.93,615.24,609.93,613.98
"Sep 30, 2016",605.72,609.73,604.14,609.73
"Sep 29, 2016",605.02,606.82,604.85,605.69
"Sep 28, 2016",606.24,606.59,604.61,604.73
"Sep 27, 2016",608.02,608.25,604.11,606.17
"Sep 26, 2016",600.81,608.14,600.35,608.04
"Sep 25, 2016",602.75,603.38,599.71,600.83
"Sep 24, 2016",602.96,604.58,602.04,602.63
"Sep 23, 2016",596.20,603.21,595.79,602.84
"Sep 22, 2016",597.28,598.49,596.21,596.30
"Sep 21, 2016",603.59,603.59,595.88,597.15
"Sep 20, 2016",609.25,609.53,607.94,608.31
"Sep 19, 2016",609.87,610.93,608.27,609.23
"Sep 18, 2016",606.28,610.16,605.86,609.87
"Sep 17, 2016",607.22,607.86,605.19,605.98
"Sep 16, 2016",607.25,609.26,606.73,606.97
"Sep 15, 2016",610.59,611.09,607.16,607.16
"Sep 14, 2016",608.84,611.95,608.41,610.68
"Sep 13, 2016",608.03,611.19,606.92,609.24
"Sep 12, 2016",607.01,608.46,605.41,608.24
"Sep 11, 2016",623.42,628.82,600.51,606.72
"Sep 10, 2016",622.93,625.09,622.40,623.51
"Sep 9, 2016",626.35,626.83,620.26,622.86
"Sep 8, 2016",614.64,628.77,613.84,626.32
"Sep 7, 2016",610.57,614.54,608.51,614.54
"Sep 6, 2016",606.51,610.83,605.09,610.44
"Sep 5, 2016",608.99,609.05,602.24,606.59
"Sep 4, 2016",598.59,611.84,596.85,608.63
"Sep 3, 2016",575.55,599.50,574.06,598.21
"Sep 2, 2016",572.41,575.64,570.81,575.54
"Sep 1, 2016",575.55,576.31,571.81,572.30
"Aug 31, 2016",577.59,577.86,573.64,575.47
"Aug 30, 2016",574.11,578.36,574.11,577.50
"Aug 29, 2016",574.07,576.28,573.47,574.11
"Aug 28, 2016",569.83,574.04,569.74,573.91
"Aug 27, 2016",579.45,579.84,568.63,569.95
"Aug 26, 2016",577.75,580.62,576.86,579.65
"Aug 25, 2016",580.18,580.45,575.17,577.76
"Aug 24, 2016",583.41,583.59,579.85,580.18
"Aug 23, 2016",586.77,589.47,581.63,583.41
"Aug 22, 2016",581.31,588.45,580.59,586.75
"Aug 21, 2016",581.94,584.16,580.22,581.31
"Aug 20, 2016",576.08,582.82,575.46,581.70
"Aug 19, 2016",574.34,578.24,574.18,575.63
"Aug 18, 2016",573.71,577.79,573.43,574.32
"Aug 17, 2016",577.76,580.89,571.43,573.22
"Aug 16, 2016",567.24,581.74,566.72,577.44
"Aug 15, 2016",570.49,573.58,563.24,567.24
"Aug 14, 2016",585.59,585.67,564.78,570.47
"Aug 13, 2016",587.36,589.77,584.98,585.59
"Aug 12, 2016",588.80,589.91,583.81,587.56
"Aug 11, 2016",592.12,597.54,589.12,589.12
"Aug 10, 2016",587.65,599.98,586.37,592.10
"Aug 9, 2016",591.04,591.09,584.79,587.80
"Aug 8, 2016",592.74,592.99,588.05,591.05
"Aug 7, 2016",587.77,597.51,586.82,592.69
"Aug 6, 2016",575.03,588.40,569.47,587.78
"Aug 5, 2016",578.28,578.28,569.98,575.04
"Aug 4, 2016",566.33,579.50,565.78,578.29
"Aug 3, 2016",548.66,573.36,541.55,566.35
"Aug 2, 2016",606.40,612.85,531.33,547.47
"Aug 1, 2016",624.60,626.12,605.88,606.27
"Jul 31, 2016",655.10,655.28,624.36,624.68
"Jul 30, 2016",657.01,658.22,654.21,655.05
"Jul 29, 2016",655.11,657.80,654.79,656.99
"Jul 28, 2016",654.49,657.59,654.49,655.03
"Jul 27, 2016",651.63,657.46,648.45,654.35
"Jul 26, 2016",654.23,656.22,645.88,651.78
"Jul 25, 2016",661.26,661.83,653.40,654.10
"Jul 24, 2016",655.41,663.11,652.79,661.28
"Jul 23, 2016",650.73,656.37,648.52,655.56
"Jul 22, 2016",664.92,666.58,646.72,650.62
"Jul 21, 2016",665.23,666.22,660.41,665.01
"Jul 20, 2016",672.81,672.93,663.36,665.68
"Jul 19, 2016",672.74,673.28,667.63,672.86
"Jul 18, 2016",679.81,681.55,668.63,673.11
"Jul 17, 2016",661.99,682.36,661.99,679.46
"Jul 16, 2016",663.78,666.46,659.33,660.77
"Jul 15, 2016",659.17,667.08,659.04,663.26
"Jul 14, 2016",652.92,662.90,652.92,658.08
"Jul 13, 2016",664.80,668.70,654.47,654.47
"Jul 12, 2016",648.28,675.26,646.78,664.55
"Jul 11, 2016",648.48,659.63,644.98,647.66
"Jul 10, 2016",650.60,652.29,641.26,649.36
"Jul 9, 2016",666.38,666.38,633.40,650.96
"Jul 8, 2016",640.69,666.71,636.47,666.52
"Jul 7, 2016",678.09,682.43,611.83,640.56
"Jul 6, 2016",670.42,681.90,670.42,677.33
"Jul 5, 2016",683.21,683.49,665.07,670.63
"Jul 4, 2016",658.80,683.66,650.51,683.66
"Jul 3, 2016",704.97,704.97,649.01,658.66
"Jul 2, 2016",676.73,703.70,676.40,703.70
"Jul 1, 2016",672.52,686.15,669.59,676.30
"Jun 30, 2016",640.59,675.40,636.61,673.34
"Jun 29, 2016",644.12,644.68,628.28,639.89
"Jun 28, 2016",658.10,659.25,637.77,647.00
"Jun 27, 2016",629.35,655.28,620.52,655.28
"Jun 26, 2016",665.93,665.98,616.93,629.37
"Jun 25, 2016",665.28,691.73,646.56,665.12
"Jun 24, 2016",625.58,681.73,625.27,665.30
"Jun 23, 2016",597.44,629.33,558.14,623.98
"Jun 22, 2016",665.91,678.67,587.48,596.12
"Jun 21, 2016",735.88,735.88,639.07,666.65
"Jun 20, 2016",763.93,764.08,732.73,737.23
"Jun 19, 2016",756.69,766.62,745.63,763.78
"Jun 18, 2016",748.76,777.99,733.93,756.23
"Jun 17, 2016",768.49,775.36,716.56,748.91
"Jun 16, 2016",696.52,773.72,696.52,766.31
"Jun 15, 2016",685.68,696.30,672.56,694.47
"Jun 14, 2016",704.50,704.50,662.80,685.56
"Jun 13, 2016",671.65,716.00,664.49,704.38
"Jun 12, 2016",609.68,684.84,607.04,672.78
"Jun 11, 2016",578.67,607.12,578.67,606.73
